what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474169541439
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474169541832
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474169545311
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1474169547081
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1474169554248
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474169559133
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474169562613
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474169562956
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474169576787
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1474169578742
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1474169583931
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1474169586515
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474169586874
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474169612415
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474169613928
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474169617003
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1474169619109
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474169621501
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474169621891
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474169625443
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474169635622
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474169635994
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474169724248
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1474169735598
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474169741031
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474169777352
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1474169779251
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474169779920
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474169780444
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474169796925
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474169806373
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474169806735
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474169819438
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474169823160
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474169823565
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474169839780
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1474169848205
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474169848486
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474169852292
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474169855958
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1474169860572
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474169860782
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474169861143
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474169885559
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1474169891850
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1474169894178
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474169894788
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474169896133
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474170048009
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1474170055805
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1474170061944
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1474170066191
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474170068077
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1474170075239
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1474170075420
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1474170077765
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474170081327
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1474170081451
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1474170081612
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1474170081900
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474170085612
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1474170093428
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474170105967
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474170114586
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474170116745
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474170415365
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1474170418266
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1474170419921
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1474170423638
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1474170426786
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1474170441069
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474170441805
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1474170445479
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474170446717
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1474170446736
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1474170448103
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1474170448911
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1474170449255
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1474170449771
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474170450440
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474170450953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474170766793
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1474170768950
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1474170770448
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1474170773485
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1474170776891
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1474170780348
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1474170782860
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1474170784822
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474170790905
